company,domain,location,is_sf,total_score,blog_score,spa_score,schema_score,decision_score,top_gap,outreach_hook,notes
Superhuman,superhuman.com,"San Francisco, CA",True,30,0,5,25,0,schema,Hey — Superhuman has no JSON-LD schema on the homepage. That's what tells ChatGPT *what* your page is. Adding it is a same-week win. Open to a chat?,blog: blog reachable at https://blog.superhuman.com/ (6256 chars visible) || spa: JS framework (__NEXT_DATA__) but content is pre-rendered || schema: no JSON-LD schema on homepage || decision: decision-support page at /compare
Gusto,gusto.com,"San Francisco, CA",True,30,3,3,4,20,decision,Hey — Gusto has no /vs or /alternatives pages. Those are the single most-cited page type in LLM answers to B2B buyer queries. Want to see which competitors are eating that traffic?,blog: blog candidates returned 401/403 to our UA — inconclusive || spa: homepage returned 403 to our UA — inconclusive || schema: homepage returned 403 to our UA — inconclusive || decision: no comparison/alternatives content found || headless: homepage rendered in Chromium
Notion,notion.so,"San Francisco, CA",True,30,0,5,25,0,schema,Hey — Notion has no JSON-LD schema on the homepage. That's what tells ChatGPT *what* your page is. Adding it is a same-week win. Open to a chat?,blog: blog reachable at https://www.notion.com/blog (3826 chars visible) || spa: JS framework (__NEXT_DATA__) but content is pre-rendered || schema: no JSON-LD schema on homepage || decision: decision URL from sitemap (https://www.notion.com/es-es/blog/apple-mail-vs-outlook) (redirected notion.so → notion.com)
Deel,deel.com,"San Francisco, CA",True,25,0,0,25,0,schema,Hey — Deel has no JSON-LD schema on the homepage. That's what tells ChatGPT *what* your page is. Adding it is a same-week win. Open to a chat?,blog: blog reachable at https://www.deel.com/blog/ (1839 chars visible) || spa: server-rendered (6432 chars visible) || schema: no JSON-LD schema on homepage || decision: decision content linked from homepage (https://deel.com/deel-vs-competitors/)
Ramp,ramp.com,"New York, NY",False,25,0,0,25,0,schema,Hey — Ramp has no JSON-LD schema on the homepage. That's what tells ChatGPT *what* your page is. Adding it is a same-week win. Open to a chat?,blog: blog reachable at https://ramp.com/blog (16086 chars visible) || spa: server-rendered (14833 chars visible) || schema: no JSON-LD schema on homepage || decision: decision-support page at /why-ramp
Default,default.com,"San Francisco, CA",True,25,0,0,25,0,schema,Hey — Default has no JSON-LD schema on the homepage. That's what tells ChatGPT *what* your page is. Adding it is a same-week win. Open to a chat?,blog: blog reachable at https://www.default.com/resources (8251 chars visible) || spa: server-rendered (8747 chars visible) || schema: no JSON-LD schema on homepage || decision: decision content linked from homepage (https://default.com/post/leandata-vs-ringlead)
Linear,linear.app,"San Francisco, CA",True,25,0,0,25,0,schema,Hey — Linear has no JSON-LD schema on the homepage. That's what tells ChatGPT *what* your page is. Adding it is a same-week win. Open to a chat?,blog: blog reachable at https://linear.app/about (4441 chars visible) || spa: server-rendered (9307 chars visible) || schema: no JSON-LD schema on homepage || decision: decision URL from sitemap (https://linear.app/integrations/vs-code)
Slack,slack.com,"San Francisco, CA",True,25,0,0,25,0,schema,Hey — Slack has no JSON-LD schema on the homepage. That's what tells ChatGPT *what* your page is. Adding it is a same-week win. Open to a chat?,blog: blog reachable at https://slack.com/resources/why-use-slack/what-is-slack-and-how-does-it-work (25926 chars visible) || spa: server-rendered (12015 chars visible) || schema: no JSON-LD schema on homepage || decision: decision content linked from homepage (https://slack.com/compare/slack-vs-teams)
Census,getcensus.com,"San Francisco, CA",True,25,0,0,25,0,schema,Hey — Census has no JSON-LD schema on the homepage. That's what tells ChatGPT *what* your page is. Adding it is a same-week win. Open to a chat?,blog: blog reachable at https://www.fivetran.com/blog (4528 chars visible) || spa: server-rendered (7965 chars visible) || schema: no JSON-LD schema on homepage || decision: decision-support page at /why-fivetran (redirected getcensus.com → fivetran.com)
Pylon,usepylon.com,"San Francisco, CA",True,25,0,0,25,0,schema,Hey — Pylon has no JSON-LD schema on the homepage. That's what tells ChatGPT *what* your page is. Adding it is a same-week win. Open to a chat?,blog: blog reachable at https://www.usepylon.com/case-study (7721 chars visible) || spa: server-rendered (5980 chars visible) || schema: no JSON-LD schema on homepage || decision: decision URL from sitemap (https://www.usepylon.com/blog/chatbot-vs-conversational-ai)
Airtable,airtable.com,"San Francisco, CA",True,25,0,5,0,20,decision,Hey — Airtable has no /vs or /alternatives pages. Those are the single most-cited page type in LLM answers to B2B buyer queries. Want to see which competitors are eating that traffic?,"blog: blog reachable at https://www.airtable.com/lp/resources (5640 chars visible) || spa: JS framework (__NEXT_DATA__) but content is pre-rendered || schema: JSON-LD types: ImageObject, Organization, WebPage, WebSite || decision: no comparison/alternatives content found"
Attio,attio.com,"London, UK",False,20,0,0,0,20,decision,Hey — Attio has no /vs or /alternatives pages. Those are the single most-cited page type in LLM answers to B2B buyer queries. Want to see which competitors are eating that traffic?,"blog: blog reachable at https://attio.com/blog (9407 chars visible) || spa: server-rendered (8712 chars visible) || schema: JSON-LD types: ImageObject, Offer, Organization, SoftwareApplication, WebSite || decision: no comparison/alternatives content found"
Hex,hex.tech,"San Francisco, CA",True,5,0,5,0,0,spa,"Hey — Hex's homepage is JS-rendered, which means GPTBot and PerplexityBot load a near-empty page. Your site is effectively invisible to AI search. Quick look at the fix?","blog: blog reachable at https://hex.tech/blog/notebook-agent-updates/ (9042 chars visible) || spa: JS framework (gatsby-focus-wrapper) but content is pre-rendered || schema: JSON-LD types: ImageObject, Organization, SoftwareApplication, WebSite || decision: decision content linked from homepage (https://hex.tech/compare/)"
Postscript,postscript.io,"Boston, MA",False,5,0,5,0,0,spa,"Hey — Postscript's homepage is JS-rendered, which means GPTBot and PerplexityBot load a near-empty page. Your site is effectively invisible to AI search. Quick look at the fix?",blog: blog reachable at https://postscript.io/blog (4292 chars visible) || spa: JS framework (__NEXT_DATA__) but content is pre-rendered || schema: JSON-LD types: Organization || decision: decision content linked from homepage (https://postscript.io/compare)
Hightouch,hightouch.com,"San Francisco, CA",True,5,0,5,0,0,spa,"Hey — Hightouch's homepage is JS-rendered, which means GPTBot and PerplexityBot load a near-empty page. Your site is effectively invisible to AI search. Quick look at the fix?",blog: blog reachable at https://hightouch.com/resources/traditional-cdp-vs-composable-cdp (5175 chars visible) || spa: JS framework (__NEXT_DATA__) but content is pre-rendered || schema: JSON-LD types: VideoObject || decision: decision content linked from homepage (https://hightouch.com/resources/traditional-cdp-vs-composable-cdp)
Rippling,rippling.com,"San Francisco, CA",True,5,0,5,0,0,spa,"Hey — Rippling's homepage is JS-rendered, which means GPTBot and PerplexityBot load a near-empty page. Your site is effectively invisible to AI search. Quick look at the fix?","blog: blog reachable at https://www.rippling.com/resources/global-hiring-report (10756 chars visible) || spa: JS framework (__NEXT_DATA__) but content is pre-rendered || schema: JSON-LD types: AggregateRating, Country, Organization, PostalAddress, Product || decision: decision content linked from homepage (https://rippling.com/entity-vs-eor-cost-calculator)"
Brex,brex.com,"San Francisco, CA",True,5,0,5,0,0,spa,"Hey — Brex's homepage is JS-rendered, which means GPTBot and PerplexityBot load a near-empty page. Your site is effectively invisible to AI search. Quick look at the fix?",blog: blog reachable at https://www.brex.com/customers (9162 chars visible) || spa: JS framework (__NEXT_DATA__) but content is pre-rendered || schema: JSON-LD types: Corporation || decision: decision URL from sitemap (https://www.brex.com/journal/cash-vs-accrual)
Figma,figma.com,"San Francisco, CA",True,5,0,5,0,0,spa,"Hey — Figma's homepage is JS-rendered, which means GPTBot and PerplexityBot load a near-empty page. Your site is effectively invisible to AI search. Quick look at the fix?","blog: blog reachable at https://www.figma.com/blog/ (10971 chars visible) || spa: JS framework (ng-app) but content is pre-rendered || schema: JSON-LD types: ContactPoint, Organization || decision: decision URL from sitemap (https://www.figma.com/resource-library/static-vs-dynamic-website/)"
