company,domain,location,is_sf,total_score,blog_score,spa_score,schema_score,decision_score,top_gap,outreach_hook,notes
Gusto,gusto.com,"San Francisco, CA",True,50,10,10,10,20,decision,Hey — Gusto has no /vs or /alternatives pages. Those are the single most-cited page type in LLM answers to B2B buyer queries. Want to see which competitors are eating that traffic?,blog: blog candidates returned 401/403 to our UA — may still be open to GPTBot/ClaudeBot || spa: homepage returned 403 to our UA — inconclusive || schema: homepage returned 403 to our UA — inconclusive || decision: no comparison/alternatives content found
Notion,notion.so,"San Francisco, CA",True,50,0,5,25,20,schema,Hey — Notion has no JSON-LD schema on the homepage. That's what tells ChatGPT *what* your page is. Adding it is a same-week win. Open to a chat?,blog: blog reachable at https://www.notion.com/blog (3826 chars visible) || spa: JS framework (__NEXT_DATA__) but content is pre-rendered || schema: no JSON-LD schema on homepage || decision: no comparison/alternatives content found
Mercury,mercury.com,"San Francisco, CA",True,45,0,5,20,20,schema,Hey — Mercury has no JSON-LD schema on the homepage. That's what tells ChatGPT *what* your page is. Adding it is a same-week win. Open to a chat?,"blog: blog reachable at https://mercury.com/insights (5894 chars visible) || spa: JS framework (id=""root"") but content is pre-rendered || schema: 1 JSON-LD block(s) but malformed/empty || decision: no comparison/alternatives content found"
Linear,linear.app,"San Francisco, CA",True,45,0,0,25,20,schema,Hey — Linear has no JSON-LD schema on the homepage. That's what tells ChatGPT *what* your page is. Adding it is a same-week win. Open to a chat?,blog: blog reachable at https://linear.app/about (4441 chars visible) || spa: server-rendered (9307 chars visible) || schema: no JSON-LD schema on homepage || decision: no comparison/alternatives content found
Pylon,usepylon.com,"San Francisco, CA",True,45,0,0,25,20,schema,Hey — Pylon has no JSON-LD schema on the homepage. That's what tells ChatGPT *what* your page is. Adding it is a same-week win. Open to a chat?,blog: blog reachable at https://www.usepylon.com/blog (5875 chars visible) || spa: server-rendered (5980 chars visible) || schema: no JSON-LD schema on homepage || decision: no comparison/alternatives content found
Airtable,airtable.com,"San Francisco, CA",True,45,0,5,20,20,schema,Hey — Airtable has no JSON-LD schema on the homepage. That's what tells ChatGPT *what* your page is. Adding it is a same-week win. Open to a chat?,blog: blog reachable at https://www.airtable.com/lp/resources (5640 chars visible) || spa: JS framework (__NEXT_DATA__) but content is pre-rendered || schema: 1 JSON-LD block(s) but malformed/empty || decision: no comparison/alternatives content found
Census,getcensus.com,"San Francisco, CA",True,45,0,0,25,20,schema,Hey — Census has no JSON-LD schema on the homepage. That's what tells ChatGPT *what* your page is. Adding it is a same-week win. Open to a chat?,blog: blog reachable at https://www.fivetran.com/blog (4528 chars visible) || spa: server-rendered (7965 chars visible) || schema: no JSON-LD schema on homepage || decision: no comparison/alternatives content found
Arcade,arcade.software,"San Francisco, CA",True,40,0,0,20,20,schema,Hey — Arcade has no JSON-LD schema on the homepage. That's what tells ChatGPT *what* your page is. Adding it is a same-week win. Open to a chat?,blog: blog reachable at https://www.arcade.software/blog (3322 chars visible) || spa: server-rendered (6033 chars visible) || schema: 1 JSON-LD block(s) but malformed/empty || decision: no comparison/alternatives content found
Deel,deel.com,"San Francisco, CA",True,30,0,0,25,5,schema,Hey — Deel has no JSON-LD schema on the homepage. That's what tells ChatGPT *what* your page is. Adding it is a same-week win. Open to a chat?,blog: blog reachable at https://www.deel.com/blog/ (1839 chars visible) || spa: server-rendered (6432 chars visible) || schema: no JSON-LD schema on homepage || decision: homepage links to decision content (/deel-vs-competitors/)
Hex,hex.tech,"San Francisco, CA",True,30,0,5,20,5,schema,Hey — Hex has no JSON-LD schema on the homepage. That's what tells ChatGPT *what* your page is. Adding it is a same-week win. Open to a chat?,blog: blog reachable at https://hex.tech/blog/notebook-agent-updates/ (9042 chars visible) || spa: JS framework (gatsby-focus-wrapper) but content is pre-rendered || schema: 1 JSON-LD block(s) but malformed/empty || decision: homepage links to decision content (/compare/)
